"APELLIDO","NOMBRE","Apellido y Nombre Diputado","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ACOSTA"," María Julia","ACOSTA María Julia","Frente para la Victoria - PJ","Catamarca","AFIRMATIVO"
"ACUÑA KUNZ"," Juan Erwin","ACUÑA KUNZ Juan Erwin","Unión Cívica Radical","Santa Cruz","NEGATIVO"
"ACUÑA"," Hugo Rodolfo","ACUÑA Hugo Rodolfo","Movimiento Popular Neuquino","Neuquén","AFIRMATIVO"
"AGOSTO"," Walter Alfredo","AGOSTO Walter Alfredo","Santa Fe Federal","Santa Fe","NEGATIVO"
"AGUAD"," Oscar Raúl","AGUAD Oscar Raúl","Unión Cívica Radical","Córdoba","NEGATIVO"
"AGUIRRE"," HILDA","AGUIRRE HILDA","Frente para la Victoria - PJ","La Rioja","AFIRMATIVO"
"ALBARRACIN"," Jorge Luis","ALBARRACIN Jorge Luis","Consenso Federal","Mendoza","NEGATIVO"
"ALBRISI"," César Alfredo","ALBRISI César Alfredo","Frente Justicia Unión y Libertad","Córdoba","NEGATIVO"
"ALCUAZ"," Horacio Alberto","ALCUAZ Horacio Alberto","GEN","Buenos Aires","NEGATIVO"
"ALFARO"," Germán Enrique","ALFARO Germán Enrique","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"ALVAREZ"," Juan José","ALVAREZ Juan José","Unión Celeste y Blanco","Buenos Aires","NEGATIVO"
"ALVARO"," Héctor Jorge","ALVARO Héctor Jorge","De la Concertación","Mendoza","AFIRMATIVO"
"AMENTA"," Marcelo Eduardo","AMENTA Marcelo Eduardo","Convergencia Federal","Buenos Aires","AUSENTE"
"ARBO"," José Ameghino","ARBO José Ameghino","Partido Liberal de Corrientes","Corrientes","NEGATIVO"
"ARDID"," Mario Rolando","ARDID Mario Rolando","Partido Nuevo Contra la Corrupción","Córdoba","NEGATIVO"
"ARETA"," María Josefa","ARETA María Josefa","Frente De Todos","Corrientes","AFIRMATIVO"
